,id,start,end,gene_name,product,strand,locus_tag,interval
7314,cds-WP_003090411.1,3961604,3962929,,replication-associated recombination protein A,-,NCGM2_RS17930,"[3961604, 3962929]"
7316,cds-WP_003090414.1,3962939,3963565,lolA,outer membrane lipoprotein chaperone LolA,-,NCGM2_RS17935,"[3962939, 3963565]"
7318,cds-WP_003131123.1,3963591,3966026,,DNA translocase FtsK,-,NCGM2_RS17940,"[3963591, 3966026]"
7320,cds-WP_003090421.1,3966254,3967204,trxB,thioredoxin-disulfide reductase,+,NCGM2_RS17945,"[3966254, 3967204]"
7322,cds-WP_003090423.1,3967242,3967922,,leucyl/phenylalanyl-tRNA--protein transferase,+,NCGM2_RS17950,"[3967242, 3967922]"
7324,cds-WP_003090424.1,3967977,3968684,,arginyltransferase,+,NCGM2_RS17955,"[3967977, 3968684]"
7326,cds-WP_002553999.1,3968789,3969007,infA,translation initiation factor IF-1,+,NCGM2_RS17960,"[3968789, 3969007]"
7328,cds-WP_003090432.1,3969089,3971365,clpA,ATP-dependent Clp protease ATP-binding subunit ClpA,-,NCGM2_RS17965,"[3969089, 3971365]"
7330,cds-WP_003097649.1,3971393,3971761,clpS,ATP-dependent Clp protease adapter ClpS,-,NCGM2_RS17970,"[3971393, 3971761]"
7332,cds-WP_003090435.1,3971987,3972259,cspD,cold shock domain-containing protein CspD,+,NCGM2_RS17975,"[3971987, 3972259]"
7334,cds-WP_003090436.1,3972333,3973589,icd,NADP-dependent isocitrate dehydrogenase,-,NCGM2_RS17980,"[3972333, 3973589]"
7336,cds-WP_003090437.1,3973948,3976173,,NADP-dependent isocitrate dehydrogenase,+,NCGM2_RS17985,"[3973948, 3976173]"
7338,cds-WP_003090438.1,3976260,3976730,,NUDIX hydrolase,+,NCGM2_RS17990,"[3976260, 3976730]"
7340,cds-WP_003131114.1,3976774,3977901,mnmA,tRNA 2-thiouridine(34) synthase MnmA,+,NCGM2_RS17995,"[3976774, 3977901]"
7342,cds-WP_003090440.1,3977898,3978518,hflD,high frequency lysogenization protein HflD,+,NCGM2_RS18000,"[3977898, 3978518]"
7344,cds-WP_003090441.1,3978521,3979405,,DMT family transporter,+,NCGM2_RS18005,"[3978521, 3979405]"
7346,cds-WP_003090442.1,3979480,3980850,purB,adenylosuccinate lyase,+,NCGM2_RS18010,"[3979480, 3980850]"
7348,cds-WP_003090443.1,3980910,3982079,,cupin domain-containing protein,+,NCGM2_RS18015,"[3980910, 3982079]"
7350,cds-WP_003090444.1,3982072,3982497,,GNAT family N-acetyltransferase,+,NCGM2_RS18020,"[3982072, 3982497]"
7352,cds-WP_003090445.1,3982504,3983124,,hypothetical protein,+,NCGM2_RS18025,"[3982504, 3983124]"
7354,cds-WP_003090446.1,3983121,3983942,,hypothetical protein,+,NCGM2_RS18030,"[3983121, 3983942]"
7356,cds-WP_003090447.1,3984537,3986132,,isocitrate lyase,+,NCGM2_RS18035,"[3984537, 3986132]"
7358,cds-WP_003108746.1,3986311,3988329,,PhoX family phosphatase,+,NCGM2_RS18040,"[3986311, 3988329]"
7360,cds-WP_073660168.1,3988408,3988962,,DUF4442 domain-containing protein,+,NCGM2_RS18045,"[3988408, 3988962]"
7362,cds-WP_003090452.1,3989561,3989974,,NADH-quinone oxidoreductase subunit A,+,NCGM2_RS18050,"[3989561, 3989974]"
7364,cds-WP_003090455.1,3989985,3990662,,NADH-quinone oxidoreductase subunit B,+,NCGM2_RS18055,"[3989985, 3990662]"
7366,cds-WP_003090458.1,3990743,3992524,nuoC,NADH-quinone oxidoreductase subunit C/D,+,NCGM2_RS18060,"[3990743, 3992524]"
7368,cds-WP_003090460.1,3992526,3993026,nuoE,NADH-quinone oxidoreductase subunit NuoE,+,NCGM2_RS18065,"[3992526, 3993026]"
7370,cds-WP_003090462.1,3993023,3994369,nuoF,NADH-quinone oxidoreductase subunit NuoF,+,NCGM2_RS18070,"[3993023, 3994369]"
7372,cds-WP_003090464.1,3994501,3997218,nuoG,NADH-quinone oxidoreductase subunit NuoG,+,NCGM2_RS18075,"[3994501, 3997218]"
7374,cds-WP_003090465.1,3997215,3998210,nuoH,NADH-quinone oxidoreductase subunit NuoH,+,NCGM2_RS18080,"[3997215, 3998210]"
7376,cds-WP_003090467.1,3998222,3998770,nuoI,NADH-quinone oxidoreductase subunit NuoI,+,NCGM2_RS18085,"[3998222, 3998770]"
7378,cds-WP_003090473.1,3998782,3999282,nuoJ,NADH-quinone oxidoreductase subunit J,+,NCGM2_RS18090,"[3998782, 3999282]"
7380,cds-WP_003090475.1,3999328,3999636,nuoK,NADH-quinone oxidoreductase subunit NuoK,+,NCGM2_RS18095,"[3999328, 3999636]"
7382,cds-WP_003090477.1,3999633,4001480,nuoL,NADH-quinone oxidoreductase subunit L,+,NCGM2_RS18100,"[3999633, 4001480]"
7384,cds-WP_003090479.1,4001508,4003037,nuoM,NADH-quinone oxidoreductase subunit M,+,NCGM2_RS18105,"[4001508, 4003037]"
7386,cds-WP_003090482.1,4003045,4004505,nuoN,NADH-quinone oxidoreductase subunit NuoN,+,NCGM2_RS18110,"[4003045, 4004505]"
7388,cds-WP_003090485.1,4004620,4005429,,class I SAM-dependent methyltransferase,+,NCGM2_RS18115,"[4004620, 4005429]"
7390,cds-WP_003090487.1,4005636,4006694,,AI-2E family transporter,-,NCGM2_RS18120,"[4005636, 4006694]"
7392,cds-WP_003138923.1,4006854,4008539,,methyl-accepting chemotaxis protein,-,NCGM2_RS18125,"[4006854, 4008539]"
7394,cds-WP_003090489.1,4008653,4009978,,Na+/H+ antiporter family protein,-,NCGM2_RS18130,"[4008653, 4009978]"
7396,cds-WP_003090491.1,4010237,4012381,,methyl-accepting chemotaxis protein,+,NCGM2_RS18135,"[4010237, 4012381]"
7398,cds-WP_003090492.1,4012386,4012694,,hypothetical protein,-,NCGM2_RS18140,"[4012386, 4012694]"
7400,cds-WP_003090493.1,4012785,4014122,,sensor histidine kinase,-,NCGM2_RS18145,"[4012785, 4014122]"
7402,cds-WP_003090494.1,4014119,4014790,,response regulator transcription factor,-,NCGM2_RS18150,"[4014119, 4014790]"
7404,cds-WP_003131079.1,4014790,4015104,,hypothetical protein,-,NCGM2_RS18155,"[4014790, 4015104]"
7406,cds-WP_003090497.1,4015104,4015412,,PepSY domain-containing protein,-,NCGM2_RS18160,"[4015104, 4015412]"
7408,cds-WP_003090498.1,4015627,4016709,,hypothetical protein,+,NCGM2_RS18165,"[4015627, 4016709]"
7410,cds-NCGM2_RS18170,4016736,4017551,,hypothetical protein,+,NCGM2_RS18170,"[4016736, 4017551]"
7412,cds-WP_073646849.1,4017499,4017879,,DUF5329 domain-containing protein,+,NCGM2_RS32250,"[4017499, 4017879]"
7414,cds-WP_003090501.1,4017880,4019073,,NnrS family protein,-,NCGM2_RS18175,"[4017880, 4019073]"
7416,cds-WP_003090502.1,4019060,4019317,,psl and pyoverdine operon regulator PpyR,-,NCGM2_RS18180,"[4019060, 4019317]"
7418,cds-WP_003090503.1,4019371,4020552,hmpA,NO-inducible flavohemoprotein,-,NCGM2_RS18185,"[4019371, 4020552]"
7420,cds-WP_003090504.1,4020707,4022260,norR,nitric oxide reductase transcriptional regulator NorR,+,NCGM2_RS18190,"[4020707, 4022260]"
7422,cds-WP_003090505.1,4022361,4022717,queD,6-carboxytetrahydropterin synthase QueD,+,NCGM2_RS18195,"[4022361, 4022717]"
7424,cds-WP_003090506.1,4023025,4023378,,H-NS histone family protein,+,NCGM2_RS18200,"[4023025, 4023378]"
7426,cds-WP_009877656.1,4023454,4023750,,hypothetical protein,-,NCGM2_RS18205,"[4023454, 4023750]"
7428,cds-WP_003090511.1,4024014,4024598,,hypothetical protein,-,NCGM2_RS18210,"[4024014, 4024598]"
7430,cds-WP_031629819.1,4024598,4025584,,hypothetical protein,-,NCGM2_RS18215,"[4024598, 4025584]"
7432,cds-WP_003138906.1,4025628,4026707,,hypothetical protein,-,NCGM2_RS18220,"[4025628, 4026707]"
7434,cds-WP_003090516.1,4026697,4027287,,type II secretion system protein,-,NCGM2_RS18225,"[4026697, 4027287]"
7436,cds-WP_003090517.1,4027284,4027709,,type II secretion system protein,-,NCGM2_RS18230,"[4027284, 4027709]"
7438,cds-WP_031629818.1,4027709,4028119,,hypothetical protein,-,NCGM2_RS18235,"[4027709, 4028119]"
7440,cds-WP_003090519.1,4028088,4028522,gspG,type II secretion system major pseudopilin GspG,-,NCGM2_RS18240,"[4028088, 4028522]"
7442,cds-WP_003090520.1,4028576,4029763,,type II secretion system F family protein,-,NCGM2_RS18245,"[4028576, 4029763]"
7444,cds-WP_003090521.1,4029768,4031495,,type II/IV secretion system protein,-,NCGM2_RS18250,"[4029768, 4031495]"
7446,cds-WP_003097732.1,4031485,4032288,,ABC transporter permease,-,NCGM2_RS18255,"[4031485, 4032288]"
7448,cds-WP_003090523.1,4032891,4033643,,class I SAM-dependent methyltransferase,-,NCGM2_RS18260,"[4032891, 4033643]"
7450,cds-WP_003090524.1,4033869,4034843,,quinone oxidoreductase,+,NCGM2_RS18265,"[4033869, 4034843]"
7452,cds-WP_003090525.1,4034866,4035795,,LysR family transcriptional regulator,+,NCGM2_RS18270,"[4034866, 4035795]"
7454,cds-WP_023098568.1,4035978,4037219,,SnoaL-like domain-containing protein,+,NCGM2_RS18275,"[4035978, 4037219]"
7456,cds-WP_003090528.1,4037227,4038189,,threo-3-hydroxy-L-aspartate ammonia-lyase,-,NCGM2_RS18280,"[4037227, 4038189]"
7458,cds-WP_003090529.1,4038545,4039387,,transporter substrate-binding domain-containing protein,+,NCGM2_RS18285,"[4038545, 4039387]"
7460,cds-WP_003090530.1,4039457,4040278,,amino acid ABC transporter ATP-binding protein,+,NCGM2_RS18290,"[4039457, 4040278]"
7462,cds-WP_003090531.1,4040291,4040962,,amino acid ABC transporter permease,+,NCGM2_RS18295,"[4040291, 4040962]"
7464,cds-WP_003090532.1,4040975,4041640,,amino acid ABC transporter permease,+,NCGM2_RS18300,"[4040975, 4041640]"
7466,cds-WP_003090533.1,4041668,4042546,dapA,4-hydroxy-tetrahydrodipicolinate synthase,+,NCGM2_RS18305,"[4041668, 4042546]"
7468,cds-WP_003090534.1,4042603,4043646,,4-hydroxyproline epimerase,+,NCGM2_RS18310,"[4042603, 4043646]"
7470,cds-WP_003110101.1,4043643,4044923,,FAD-dependent oxidoreductase,+,NCGM2_RS18315,"[4043643, 4044923]"
7472,cds-WP_003090537.1,4044920,4046398,,aldehyde dehydrogenase family protein,+,NCGM2_RS18320,"[4044920, 4046398]"
7474,cds-WP_003090538.1,4046409,4047452,,proline racemase,+,NCGM2_RS18325,"[4046409, 4047452]"
7476,cds-WP_003090539.1,4047500,4048207,,GntR family transcriptional regulator,+,NCGM2_RS18330,"[4047500, 4048207]"
7478,cds-WP_003090543.1,4048217,4048408,,hypothetical protein,-,NCGM2_RS18335,"[4048217, 4048408]"
7480,cds-WP_003090544.1,4048405,4052358,,RHS repeat protein,-,NCGM2_RS18340,"[4048405, 4052358]"
7482,cds-WP_009313976.1,4052408,4054477,tssI,type VI secretion system tip protein VgrG,-,NCGM2_RS18345,"[4052408, 4054477]"
7484,cds-WP_003090546.1,4054743,4055459,,response regulator transcription factor,+,NCGM2_RS18350,"[4054743, 4055459]"
7486,cds-WP_003090547.1,4055459,4056799,,sensor histidine kinase,+,NCGM2_RS18355,"[4055459, 4056799]"
7488,cds-WP_003090548.1,4056898,4059138,pfeA,siderophore enterobactin receptor PfeA,+,NCGM2_RS18360,"[4056898, 4059138]"
7490,cds-WP_003090549.1,4059158,4060072,pfeE,ferric enterobactin esterase PfeE,+,NCGM2_RS18365,"[4059158, 4060072]"
7492,cds-WP_003090550.1,4060413,4061531,,hypothetical protein,+,NCGM2_RS18370,"[4060413, 4061531]"
7494,cds-WP_003090551.1,4061566,4062771,,NAD(P)/FAD-dependent oxidoreductase,-,NCGM2_RS18375,"[4061566, 4062771]"
7496,cds-WP_003090553.1,4063040,4063564,,Rrf2 family transcriptional regulator,+,NCGM2_RS18380,"[4063040, 4063564]"
7498,cds-WP_003090555.1,4063735,4064235,,acyl-CoA thioesterase,+,NCGM2_RS18385,"[4063735, 4064235]"
7500,cds-WP_003090556.1,4064263,4064589,,thioredoxin family protein,-,NCGM2_RS18390,"[4064263, 4064589]"
7502,cds-WP_003090558.1,4064670,4065773,,DUF1615 domain-containing protein,-,NCGM2_RS18395,"[4064670, 4065773]"
7504,cds-WP_023098565.1,4065887,4066780,,helix-turn-helix transcriptional regulator,-,NCGM2_RS18400,"[4065887, 4066780]"
7506,cds-WP_003090560.1,4066950,4067231,,XapX domain-containing protein,-,NCGM2_RS18405,"[4066950, 4067231]"
7508,cds-WP_003090561.1,4067288,4067968,,hydrolase,-,NCGM2_RS18410,"[4067288, 4067968]"
7510,cds-WP_003101513.1,4068576,4070414,,amidohydrolase,+,NCGM2_RS18415,"[4068576, 4070414]"
7512,cds-WP_003090563.1,4070463,4071770,,OprD family porin,+,NCGM2_RS18420,"[4070463, 4071770]"
7514,cds-WP_003090564.1,4071773,4073362,,MFS transporter,+,NCGM2_RS18425,"[4071773, 4073362]"
7516,cds-WP_003090565.1,4073509,4073985,tse2,type VI secretion system effector Tse2,+,NCGM2_RS18430,"[4073509, 4073985]"
7518,cds-WP_003090566.1,4073995,4074228,,hypothetical protein,+,NCGM2_RS18435,"[4073995, 4074228]"
7520,cds-WP_003090568.1,4074521,4075540,,AraC family transcriptional regulator,-,NCGM2_RS18440,"[4074521, 4075540]"
7522,cds-WP_003090569.1,4075654,4076835,,VWA domain-containing protein,-,NCGM2_RS18445,"[4075654, 4076835]"
7524,cds-WP_003090570.1,4076884,4077279,,GFA family protein,-,NCGM2_RS18450,"[4076884, 4077279]"
7526,cds-WP_003090571.1,4077344,4078189,,MoxR family ATPase,-,NCGM2_RS18455,"[4077344, 4078189]"
7528,cds-WP_003090572.1,4078352,4079437,,DUF748 domain-containing protein,-,NCGM2_RS18460,"[4078352, 4079437]"
7530,cds-WP_003090573.1,4079558,4080532,cysK,cysteine synthase A,+,NCGM2_RS18465,"[4079558, 4080532]"
7532,cds-WP_003090574.1,4080591,4081205,,LysE family translocator,+,NCGM2_RS18470,"[4080591, 4081205]"
7534,cds-WP_003090575.1,4081404,4082495,,polyamine ABC transporter substrate-binding protein,+,NCGM2_RS18475,"[4081404, 4082495]"
7536,cds-WP_003090576.1,4082915,4083778,,DMT family transporter,+,NCGM2_RS18480,"[4082915, 4083778]"
7538,cds-WP_003090577.1,4083826,4084305,,hypothetical protein,-,NCGM2_RS18485,"[4083826, 4084305]"
7540,cds-WP_003090579.1,4084659,4086968,,molybdopterin oxidoreductase family protein,+,NCGM2_RS18490,"[4084659, 4086968]"
7542,cds-WP_003090580.1,4086985,4087323,,ferredoxin family protein,+,NCGM2_RS18495,"[4086985, 4087323]"
7544,cds-WP_003090582.1,4087338,4088573,,NADH:flavin oxidoreductase/NADH oxidase family protein,-,NCGM2_RS18500,"[4087338, 4088573]"
7546,cds-WP_003090584.1,4088699,4089529,,alpha/beta hydrolase,-,NCGM2_RS18505,"[4088699, 4089529]"
7548,cds-WP_003090587.1,4089762,4090250,,MerR family transcriptional regulator,+,NCGM2_RS18510,"[4089762, 4090250]"
7550,cds-WP_003131041.1,4090350,4091036,,type 1 glutamine amidotransferase domain-containing protein,+,NCGM2_RS18515,"[4090350, 4091036]"
7552,cds-WP_003090593.1,4091242,4091880,,hypothetical protein,-,NCGM2_RS18520,"[4091242, 4091880]"
7554,cds-WP_003090595.1,4092309,4093244,,DUF4880 domain-containing protein,-,NCGM2_RS18525,"[4092309, 4093244]"
7556,cds-WP_003131039.1,4093247,4093786,,sigma-70 family RNA polymerase sigma factor,-,NCGM2_RS18530,"[4093247, 4093786]"
7558,cds-WP_003090600.1,4093955,4094434,,VOC family protein,+,NCGM2_RS18535,"[4093955, 4094434]"
7560,cds-WP_003090602.1,4094466,4094858,,GFA family protein,+,NCGM2_RS18540,"[4094466, 4094858]"
7562,cds-WP_003090604.1,4094888,4095166,,hypothetical protein,+,NCGM2_RS18545,"[4094888, 4095166]"
7564,cds-WP_003090607.1,4095241,4095783,,hypothetical protein,+,NCGM2_RS18550,"[4095241, 4095783]"
7566,cds-WP_004350147.1,4095860,4097743,,ATP-dependent Clp protease ATP-binding subunit,+,NCGM2_RS18555,"[4095860, 4097743]"
7568,cds-WP_003090610.1,4097745,4098383,,radical SAM protein,+,NCGM2_RS18560,"[4097745, 4098383]"
7570,cds-WP_014603861.1,4098398,4104694,,DUF4011 domain-containing protein,+,NCGM2_RS18565,"[4098398, 4104694]"
7572,cds-WP_003090617.1,4104691,4106040,,hypothetical protein,+,NCGM2_RS18570,"[4104691, 4106040]"
7574,cds-NCGM2_RS32265,4106384,4107238,,GIY-YIG nuclease family protein,+,NCGM2_RS32265,"[4106384, 4107238]"
7576,cds-WP_123788669.1,4107554,4108087,,hypothetical protein,+,NCGM2_RS32865,"[4107554, 4108087]"
7578,cds-WP_087819173.1-2,4108399,4108648,,IS3 family transposase,+,NCGM2_RS18580,"[4108399, 4108648]"
7579,cds-WP_087819173.1-2,4108648,4109537,,IS3 family transposase,+,NCGM2_RS18580,"[4108648, 4109537]"
7581,cds-WP_019486382.1,4109816,4110652,,hypothetical protein,-,NCGM2_RS18585,"[4109816, 4110652]"
7583,cds-WP_003090621.1,4110649,4111899,,hypothetical protein,-,NCGM2_RS18590,"[4110649, 4111899]"
7585,cds-WP_003090623.1,4111896,4112543,,hypothetical protein,-,NCGM2_RS18595,"[4111896, 4112543]"
7587,cds-WP_003090625.1,4112540,4116439,,ATP-binding protein,-,NCGM2_RS18600,"[4112540, 4116439]"
7589,cds-WP_049285002.1,4116445,4117305,,WYL domain-containing protein,+,NCGM2_RS18605,"[4116445, 4117305]"
7591,cds-WP_144032636.1,4118386,4118641,,IS3 family transposase,-,NCGM2_RS18610,"[4118386, 4118641]"
7592,cds-WP_144032636.1,4117479,4118386,,IS3 family transposase,-,NCGM2_RS18610,"[4117479, 4118386]"
7594,cds-WP_003090627.1,4118955,4121948,,type I restriction endonuclease subunit R,-,NCGM2_RS18620,"[4118955, 4121948]"
7596,cds-WP_014603864.1,4121953,4123104,,restriction endonuclease subunit S,-,NCGM2_RS18625,"[4121953, 4123104]"
7598,cds-WP_003090631.1,4123101,4124777,,ATP-dependent helicase,-,NCGM2_RS18630,"[4123101, 4124777]"
7600,cds-WP_014603865.1,4124774,4126678,,AAA family ATPase,-,NCGM2_RS18635,"[4124774, 4126678]"
7602,cds-WP_014603866.1,4126675,4128198,,SAM-dependent DNA methyltransferase,-,NCGM2_RS18640,"[4126675, 4128198]"
7604,cds-WP_014603867.1,4128195,4129691,,SAM-dependent DNA methyltransferase,-,NCGM2_RS18645,"[4128195, 4129691]"
7606,cds-WP_014603868.1,4129762,4131141,,DNA protection protein,-,NCGM2_RS18650,"[4129762, 4131141]"
7608,cds-WP_023098559.1,4131138,4133216,,RecQ family ATP-dependent DNA helicase,-,NCGM2_RS18655,"[4131138, 4133216]"
7613,cds-WP_003090655.1,4133558,4133914,,MerR family transcriptional regulator,-,NCGM2_RS18665,"[4133558, 4133914]"
7615,cds-WP_003090661.1,4133895,4134197,ihfA,integration host factor subunit alpha,-,NCGM2_RS18670,"[4133895, 4134197]"
7617,cds-WP_003090664.1,4134201,4136579,pheT,phenylalanine--tRNA ligase subunit beta,-,NCGM2_RS18675,"[4134201, 4136579]"
7619,cds-WP_003090666.1,4136614,4137630,pheS,phenylalanine--tRNA ligase subunit alpha,-,NCGM2_RS18680,"[4136614, 4137630]"
7621,cds-WP_003099086.1,4137728,4138084,rplT,50S ribosomal protein L20,-,NCGM2_RS18685,"[4137728, 4138084]"
7623,cds-WP_003090673.1,4138108,4138302,rpmI,50S ribosomal protein L35,-,NCGM2_RS18690,"[4138108, 4138302]"
7625,cds-WP_003099089.1,4138364,4138897,infC,translation initiation factor IF-3,-,NCGM2_RS18695,"[4138364, 4138897]"
7627,cds-WP_003090677.1,4138915,4140837,thrS,threonine--tRNA ligase,-,NCGM2_RS18700,"[4138915, 4140837]"
7629,cds-WP_003090679.1,4141087,4141950,,alpha/beta hydrolase,-,NCGM2_RS18705,"[4141087, 4141950]"
7631,cds-WP_003090681.1,4142142,4142468,,hypothetical protein,+,NCGM2_RS18710,"[4142142, 4142468]"
7633,cds-WP_003090682.1,4142553,4142729,,hypothetical protein,+,NCGM2_RS18715,"[4142553, 4142729]"
7635,cds-WP_003090684.1,4143054,4143341,,DUF3509 domain-containing protein,-,NCGM2_RS18720,"[4143054, 4143341]"
7637,cds-WP_003090686.1,4143540,4143773,,hypothetical protein,-,NCGM2_RS18725,"[4143540, 4143773]"
7639,cds-WP_003090687.1,4143827,4144609,map,type I methionyl aminopeptidase,-,NCGM2_RS18730,"[4143827, 4144609]"
7641,cds-WP_003090688.1,4144606,4144827,,ParD-like family protein,-,NCGM2_RS18735,"[4144606, 4144827]"
7643,cds-WP_003099106.1,4144984,4145697,,DNA-specific endonuclease I,+,NCGM2_RS18740,"[4144984, 4145697]"
7645,cds-WP_003090794.1,4145716,4146234,,hypothetical protein,+,NCGM2_RS18745,"[4145716, 4146234]"
7647,cds-WP_003090795.1,4146209,4146439,,hypothetical protein,-,NCGM2_RS18750,"[4146209, 4146439]"
7649,cds-WP_003090796.1,4146505,4146738,,DUF3509 domain-containing protein,-,NCGM2_RS18755,"[4146505, 4146738]"
7651,cds-WP_003090797.1,4146961,4147860,,YihY/virulence factor BrkB family protein,+,NCGM2_RS18760,"[4146961, 4147860]"
7653,cds-WP_003090798.1,4147850,4148167,,hypothetical protein,-,NCGM2_RS18765,"[4147850, 4148167]"
7655,cds-WP_003090799.1,4148320,4148763,,DedA family protein,-,NCGM2_RS18770,"[4148320, 4148763]"
7657,cds-WP_003090800.1,4148899,4149273,,DUF5064 family protein,+,NCGM2_RS18775,"[4148899, 4149273]"
7659,cds-WP_003090802.1,4149384,4149713,,DUF883 domain-containing protein,+,NCGM2_RS18780,"[4149384, 4149713]"
7661,cds-WP_003090804.1,4149779,4149976,,hypothetical protein,-,NCGM2_RS18785,"[4149779, 4149976]"
7663,cds-WP_014603869.1,4150155,4150385,,DUF2789 domain-containing protein,+,NCGM2_RS18790,"[4150155, 4150385]"
7665,cds-WP_014603870.1,4150734,4151204,eco,serine protease inhibitor ecotin,+,NCGM2_RS18795,"[4150734, 4151204]"
7667,cds-WP_003119906.1,4151256,4151690,,hypothetical protein,-,NCGM2_RS18800,"[4151256, 4151690]"
7669,cds-WP_003090812.1,4151829,4152272,,PACE efflux transporter,-,NCGM2_RS18805,"[4151829, 4152272]"
7671,cds-WP_003090813.1,4152375,4153262,,LysR family transcriptional regulator,+,NCGM2_RS18810,"[4152375, 4153262]"
7673,cds-WP_003090814.1,4153473,4153787,,hypothetical protein,-,NCGM2_RS18815,"[4153473, 4153787]"
7675,cds-WP_003090815.1,4154152,4155432,,OprD family porin,+,NCGM2_RS18820,"[4154152, 4155432]"
7677,cds-WP_019485079.1,4155544,4155960,,hypothetical protein,+,NCGM2_RS18825,"[4155544, 4155960]"
7679,cds-WP_003090818.1,4156003,4156347,,cupin domain-containing protein,-,NCGM2_RS18830,"[4156003, 4156347]"
7681,cds-WP_003090820.1,4156459,4156668,,hypothetical protein,-,NCGM2_RS18835,"[4156459, 4156668]"
7683,cds-WP_003090821.1,4156939,4157127,,hypothetical protein,+,NCGM2_RS18840,"[4156939, 4157127]"
7685,cds-WP_003090822.1,4157142,4157351,,hypothetical protein,-,NCGM2_RS18845,"[4157142, 4157351]"
7687,cds-WP_003090823.1,4157682,4158377,,alpha/beta hydrolase,+,NCGM2_RS18850,"[4157682, 4158377]"
7689,cds-WP_073660286.1,4158425,4159324,,Dyp-type peroxidase,-,NCGM2_RS18855,"[4158425, 4159324]"
7691,cds-WP_003090825.1,4159666,4160247,,TetR/AcrR family transcriptional regulator,-,NCGM2_RS18860,"[4159666, 4160247]"
7693,cds-WP_003090826.1,4160335,4161303,,enoyl-CoA hydratase/isomerase family protein,+,NCGM2_RS18865,"[4160335, 4161303]"
7695,cds-WP_003090827.1,4161309,4161791,,hypothetical protein,+,NCGM2_RS18870,"[4161309, 4161791]"
7697,cds-WP_003090829.1,4161942,4162352,,NUDIX domain-containing protein,-,NCGM2_RS18875,"[4161942, 4162352]"
7699,cds-WP_003090830.1,4162374,4163153,,PhzF family phenazine biosynthesis protein,-,NCGM2_RS18880,"[4162374, 4163153]"
7701,cds-WP_003099145.1,4163255,4163494,,hypothetical protein,-,NCGM2_RS18885,"[4163255, 4163494]"
7703,cds-WP_003090832.1,4163865,4164698,,acid phosphatase,+,NCGM2_RS18890,"[4163865, 4164698]"
7705,cds-WP_003090833.1,4164732,4164956,,hypothetical protein,-,NCGM2_RS18895,"[4164732, 4164956]"
7707,cds-WP_003090834.1,4165117,4165287,,hypothetical protein,+,NCGM2_RS18900,"[4165117, 4165287]"
7709,cds-WP_073660287.1,4165307,4165828,,hypothetical protein,-,NCGM2_RS18905,"[4165307, 4165828]"
7711,cds-WP_003138819.1,4166027,4166614,,hypothetical protein,-,NCGM2_RS18910,"[4166027, 4166614]"
7713,cds-WP_003090838.1,4166619,4167056,,DUF3592 domain-containing protein,-,NCGM2_RS18915,"[4166619, 4167056]"
7718,cds-WP_003090841.1,4167508,4168791,,FAD-binding oxidoreductase,+,NCGM2_RS18925,"[4167508, 4168791]"
7720,cds-WP_003090842.1,4168842,4169798,,formate/nitrite transporter family protein,-,NCGM2_RS18930,"[4168842, 4169798]"
7722,cds-WP_011666615.1,4169880,4170758,,PA2778 family cysteine peptidase,-,NCGM2_RS18935,"[4169880, 4170758]"
7724,cds-WP_003090843.1,4170842,4171240,,PA2779 family protein,-,NCGM2_RS18940,"[4170842, 4171240]"
7726,cds-WP_003115217.1,4171645,4171989,,helix-turn-helix transcriptional regulator,+,NCGM2_RS18945,"[4171645, 4171989]"
7728,cds-WP_107236445.1,4172004,4172651,,flavodoxin family protein,-,NCGM2_RS32870,"[4172004, 4172651]"
7730,cds-WP_011666614.1,4172806,4173465,,hypothetical protein,+,NCGM2_RS18955,"[4172806, 4173465]"
7732,cds-WP_014603872.1,4173543,4175366,,carbohydrate-binding protein,+,NCGM2_RS18960,"[4173543, 4175366]"
7734,cds-WP_003090849.1,4175537,4176094,,DUF2975 domain-containing protein,+,NCGM2_RS18965,"[4175537, 4176094]"
7736,cds-WP_003090850.1,4176103,4176321,,helix-turn-helix transcriptional regulator,+,NCGM2_RS18970,"[4176103, 4176321]"
7738,cds-WP_003090851.1,4176436,4176903,,GAF domain-containing protein,+,NCGM2_RS18975,"[4176436, 4176903]"
7740,cds-WP_003090852.1,4176970,4178208,,M20/M25/M40 family metallo-hydrolase,+,NCGM2_RS18980,"[4176970, 4178208]"
7742,cds-WP_003090853.1,4178230,4179825,,chemotaxis protein,-,NCGM2_RS18985,"[4178230, 4179825]"
7744,cds-WP_003090854.1,4180069,4181148,,hypothetical protein,+,NCGM2_RS18990,"[4180069, 4181148]"
7746,cds-WP_003138785.1,4181583,4182068,,hypothetical protein,+,NCGM2_RS18995,"[4181583, 4182068]"
7748,cds-WP_003090858.1,4182169,4182459,,hypothetical protein,-,NCGM2_RS19000,"[4182169, 4182459]"
7750,cds-WP_003090859.1,4182553,4183149,,hypothetical protein,-,NCGM2_RS19005,"[4182553, 4183149]"
7752,cds-WP_003090863.1,4183230,4184264,,hypothetical protein,-,NCGM2_RS19010,"[4183230, 4184264]"
7754,cds-WP_003116580.1,4184531,4185187,,GntR family transcriptional regulator,-,NCGM2_RS19015,"[4184531, 4185187]"
7756,cds-WP_003090864.1,4185292,4186506,,MFS transporter,+,NCGM2_RS19020,"[4185292, 4186506]"
