,id,start,end,gene_name,strand,locus_tag,interval
5083,gene-PA2385,2636517,2638805,pvdQ,-,PA2385,"[2636517, 2638805]"
5085,gene-PA2386,2638928,2640259,pvdA,-,PA2386,"[2638928, 2640259]"
5087,gene-PA2387,2640392,2640871,fpvI,-,PA2387,"[2640392, 2640871]"
5091,gene-PA2388,2641035,2642030,fpvR,+,PA2388,"[2641035, 2642030]"
5093,gene-PA2389,2642131,2643306,pvdR,+,PA2389,"[2642131, 2643306]"
5095,gene-PA2390,2643306,2645297,pvdT,+,PA2390,"[2643306, 2645297]"
5097,gene-PA2391,2645303,2646727,opmQ,+,PA2391,"[2645303, 2646727]"
5099,gene-PA2392,2646776,2648410,pvdP,-,PA2392,"[2646776, 2648410]"
5101,gene-PA2393,2648626,2649972,PA2393,+,PA2393,"[2648626, 2649972]"
5103,gene-PA2394,2649995,2651278,pvdN,+,PA2394,"[2649995, 2651278]"
5105,gene-PA2395,2651307,2652161,pvdO,+,PA2395,"[2651307, 2652161]"
5107,gene-PA2396,2652230,2653057,pvdF,-,PA2396,"[2652230, 2653057]"
5111,gene-PA2397,2653435,2655084,pvdE,+,PA2397,"[2653435, 2655084]"
5113,gene-PA2398,2655187,2657634,fpvA,+,PA2398,"[2655187, 2657634]"
5115,gene-PA2399,2657798,2665144,pvdD,-,PA2399,"[2657798, 2665144]"
5117,gene-PA2400,2665156,2671629,pvdJ,-,PA2400,"[2665156, 2671629]"
5120,gene-PA2402,2671729,2687178,PA2402,-,PA2402,"[2671729, 2687178]"
5122,gene-PA2403,2687497,2688708,PA2403,+,PA2403,"[2687497, 2688708]"
5124,gene-PA2404,2688705,2689244,PA2404,+,PA2404,"[2688705, 2689244]"
5126,gene-PA2405,2689241,2689570,PA2405,+,PA2405,"[2689241, 2689570]"
5128,gene-PA2406,2689567,2690127,PA2406,+,PA2406,"[2689567, 2690127]"
5130,gene-PA2407,2690160,2691113,PA2407,+,PA2407,"[2690160, 2691113]"
5132,gene-PA2408,2691110,2691865,PA2408,+,PA2408,"[2691110, 2691865]"
5134,gene-PA2409,2691862,2692767,PA2409,+,PA2409,"[2691862, 2692767]"
5136,gene-PA2410,2692764,2693681,PA2410,+,PA2410,"[2692764, 2693681]"
5138,gene-PA2411,2693781,2694545,PA2411,-,PA2411,"[2693781, 2694545]"
5140,gene-PA2412,2694546,2694764,PA2412,-,PA2412,"[2694546, 2694764]"
5142,gene-PA2413,2694842,2696251,pvdH,-,PA2413,"[2694842, 2696251]"
5144,gene-PA2414,2696430,2697749,PA2414,-,PA2414,"[2696430, 2697749]"
5146,gene-PA2415,2697742,2698167,PA2415,-,PA2415,"[2697742, 2698167]"
5148,gene-PA2416,2698526,2700163,treA,+,PA2416,"[2698526, 2700163]"
5150,gene-PA2417,2700167,2701105,PA2417,-,PA2417,"[2700167, 2701105]"
5152,gene-PA2418,2701206,2702066,PA2418,+,PA2418,"[2701206, 2702066]"
5154,gene-PA2419,2702164,2702844,PA2419,+,PA2419,"[2702164, 2702844]"
5156,gene-PA2420,2702926,2704344,PA2420,+,PA2420,"[2702926, 2704344]"
5158,gene-PA2421,2704377,2705297,PA2421,+,PA2421,"[2704377, 2705297]"
5160,gene-PA2422,2705773,2706087,PA2422,+,PA2422,"[2705773, 2706087]"
5162,gene-PA2423,2706387,2707181,PA2423,+,PA2423,"[2706387, 2707181]"
5164,gene-PA2424,2707666,2720694,pvdL,-,PA2424,"[2707666, 2720694]"
5166,gene-PA2425,2720767,2721531,pvdG,-,PA2425,"[2720767, 2721531]"
5171,gene-PA2426,2722175,2722738,pvdS,+,PA2426,"[2722175, 2722738]"
5173,gene-PA2427,2722755,2723222,PA2427,-,PA2427,"[2722755, 2723222]"
5175,gene-PA2428,2723309,2724223,PA2428,-,PA2428,"[2723309, 2724223]"
5177,gene-PA2429,2724485,2724730,PA2429,+,PA2429,"[2724485, 2724730]"
5179,gene-PA2430,2724767,2725771,PA2430,-,PA2430,"[2724767, 2725771]"
5181,gene-PA2431,2725967,2728141,PA2431,-,PA2431,"[2725967, 2728141]"
5183,gene-PA2432,2728542,2729456,bexR,+,PA2432,"[2728542, 2729456]"
5185,gene-PA2433,2729571,2729840,PA2433,+,PA2433,"[2729571, 2729840]"
5187,gene-PA2434,2729976,2730521,PA2434,-,PA2434,"[2729976, 2730521]"
5189,gene-PA2435,2730518,2732503,PA2435,-,PA2435,"[2730518, 2732503]"
5191,gene-PA2436,2732532,2732966,PA2436,-,PA2436,"[2732532, 2732966]"
5193,gene-PA2437,2733120,2734160,PA2437,-,PA2437,"[2733120, 2734160]"
5195,gene-PA2438,2734157,2735182,PA2438,-,PA2438,"[2734157, 2735182]"
5197,gene-PA2439,2735194,2737194,PA2439,-,PA2439,"[2735194, 2737194]"
5201,gene-PA2440,2737882,2738844,PA2440,+,PA2440,"[2737882, 2738844]"
5203,gene-PA2441,2738841,2739716,PA2441,+,PA2441,"[2738841, 2739716]"
5205,gene-PA2442,2739762,2740883,gcvT2,-,PA2442,"[2739762, 2740883]"
5207,gene-PA2443,2740977,2742353,sdaA,-,PA2443,"[2740977, 2742353]"
5209,gene-PA2444,2742401,2743657,glyA2,-,PA2444,"[2742401, 2743657]"
5211,gene-PA2445,2743800,2746679,gcvP2,-,PA2445,"[2743800, 2746679]"
5213,gene-PA2446,2746690,2747073,gcvH2,-,PA2446,"[2746690, 2747073]"
5215,gene-PA2447,2747332,2748255,PA2447,-,PA2447,"[2747332, 2748255]"
5217,gene-PA2448,2748378,2750120,PA2448,+,PA2448,"[2748378, 2750120]"
5219,gene-PA2449,2750128,2751663,PA2449,-,PA2449,"[2750128, 2751663]"
5221,gene-PA2450,2751745,2752662,PA2450,-,PA2450,"[2751745, 2752662]"
5224,gene-PA2453,2754602,2754823,PA2453,+,PA2453,"[2754602, 2754823]"
5226,gene-PA2454,2754877,2755728,PA2454,+,PA2454,"[2754877, 2755728]"
5228,gene-PA2455,2755725,2756252,PA2455,+,PA2455,"[2755725, 2756252]"
5230,gene-PA2457,2756918,2757898,PA2457,+,PA2457,"[2756918, 2757898]"
5232,gene-PA2458,2758061,2759182,PA2458,+,PA2458,"[2758061, 2759182]"
5234,gene-PA2459,2759482,2760087,PA2459,-,PA2459,"[2759482, 2760087]"
5236,gene-PA2460,2760323,2760619,PA2460,-,PA2460,"[2760323, 2760619]"
5238,gene-PA2461,2760872,2761351,PA2461,-,PA2461,"[2760872, 2761351]"
5240,gene-PA2462,2761921,2778804,PA2462,-,PA2462,"[2761921, 2778804]"
5245,gene-PA2463,2778917,2780614,PA2463,-,PA2463,"[2778917, 2780614]"
5247,gene-PA2464,2780927,2781451,PA2464,-,PA2464,"[2780927, 2781451]"
5249,gene-PA2465,2781498,2782646,PA2465,-,PA2465,"[2781498, 2782646]"
5251,gene-PA2466,2782764,2785226,foxA,-,PA2466,"[2782764, 2785226]"
5255,gene-PA2467,2785370,2786356,foxR,-,PA2467,"[2785370, 2786356]"
5257,gene-PA2468,2786365,2786883,foxI,-,PA2468,"[2786365, 2786883]"
5259,gene-PA2469,2786972,2787886,PA2469,-,PA2469,"[2786972, 2787886]"
5261,gene-PA2470,2788011,2789072,gtdA,+,PA2470,"[2788011, 2789072]"
5264,gene-PA2471,2789085,2789783,PA2471,+,PA2471,"[2789085, 2789783]"
5266,gene-PA2472,2789861,2791207,PA2472,+,PA2472,"[2789861, 2791207]"
5268,gene-PA2473,2791220,2791864,PA2473,+,PA2473,"[2791220, 2791864]"
5270,gene-PA2474,2791906,2792817,PA2474,+,PA2474,"[2791906, 2792817]"
5272,gene-PA2475,2792799,2794133,PA2475,-,PA2475,"[2792799, 2794133]"
5274,gene-PA2476,2794206,2794976,dsbG,-,PA2476,"[2794206, 2794976]"
5276,gene-PA2477,2794973,2795809,PA2477,-,PA2477,"[2794973, 2795809]"
5278,gene-PA2478,2795809,2797572,PA2478,-,PA2478,"[2795809, 2797572]"
5280,gene-PA2479,2797735,2798415,PA2479,+,PA2479,"[2797735, 2798415]"
5282,gene-PA2480,2798412,2799734,PA2480,+,PA2480,"[2798412, 2799734]"
5284,gene-PA2481,2799910,2800785,PA2481,-,PA2481,"[2799910, 2800785]"
5286,gene-PA2482,2800782,2801435,PA2482,-,PA2482,"[2800782, 2801435]"
5288,gene-PA2483,2801550,2802551,PA2483,-,PA2483,"[2801550, 2802551]"
5290,gene-PA2484,2802702,2803316,PA2484,-,PA2484,"[2802702, 2803316]"
5292,gene-PA2485,2803345,2803623,PA2485,+,PA2485,"[2803345, 2803623]"
5294,gene-PA2486,2803640,2803834,PA2486,+,PA2486,"[2803640, 2803834]"
5296,gene-PA2487,2803860,2804132,PA2487,-,PA2487,"[2803860, 2804132]"
5298,gene-PA2488,2804230,2804994,PA2488,+,PA2488,"[2804230, 2804994]"
5300,gene-PA2489,2805021,2805836,PA2489,+,PA2489,"[2805021, 2805836]"
5302,gene-PA2490,2805917,2806291,PA2490,+,PA2490,"[2805917, 2806291]"
5304,gene-PA2491,2806350,2807369,PA2491,-,PA2491,"[2806350, 2807369]"
5306,gene-PA2492,2807469,2808512,mexT,+,PA2492,"[2807469, 2808512]"
5309,gene-PA2493,2808743,2809987,mexE,+,PA2493,"[2808743, 2809987]"
5311,gene-PA2494,2810009,2813197,mexF,+,PA2494,"[2810009, 2813197]"
5313,gene-PA2495,2813194,2814612,oprN,+,PA2495,"[2813194, 2814612]"
5315,gene-PA2496,2814767,2815282,PA2496,-,PA2496,"[2814767, 2815282]"
5317,gene-PA2497,2815341,2816219,PA2497,-,PA2497,"[2815341, 2816219]"
5319,gene-PA2498,2816347,2816979,PA2498,+,PA2498,"[2816347, 2816979]"
5321,gene-PA2499,2816997,2817452,PA2499,+,PA2499,"[2816997, 2817452]"
5323,gene-PA2500,2817449,2818675,PA2500,+,PA2500,"[2817449, 2818675]"
5325,gene-PA2501,2818719,2818886,PA2501,-,PA2501,"[2818719, 2818886]"
5327,gene-PA2502,2818990,2820489,PA2502,-,PA2502,"[2818990, 2820489]"
5329,gene-PA2503,2820448,2821701,PA2503,+,PA2503,"[2820448, 2821701]"
5331,gene-PA2504,2821705,2822322,PA2504,-,PA2504,"[2821705, 2822322]"
5333,gene-PA2505,2822574,2823920,opdT,-,PA2505,"[2822574, 2823920]"
5335,gene-PA2506,2824283,2824501,PA2506,+,PA2506,"[2824283, 2824501]"
5337,gene-PA2507,2824659,2825591,catA,-,PA2507,"[2824659, 2825591]"
5339,gene-PA2508,2825636,2825926,catC,-,PA2508,"[2825636, 2825926]"
5341,gene-PA2509,2825958,2827079,catB,-,PA2509,"[2825958, 2827079]"
5343,gene-PA2510,2827241,2828113,catR,+,PA2510,"[2827241, 2828113]"
5345,gene-PA2511,2828122,2829123,PA2511,-,PA2511,"[2828122, 2829123]"
5347,gene-PA2512,2829440,2830834,antA,+,PA2512,"[2829440, 2830834]"
5349,gene-PA2513,2830831,2831322,antB,+,PA2513,"[2830831, 2831322]"
5351,gene-PA2514,2831341,2832363,antC,+,PA2514,"[2831341, 2832363]"
5353,gene-PA2515,2832369,2833130,xylL,-,PA2515,"[2832369, 2833130]"
5355,gene-PA2516,2833155,2834168,xylZ,-,PA2516,"[2833155, 2834168]"
5357,gene-PA2517,2834202,2834690,xylY,-,PA2517,"[2834202, 2834690]"
5359,gene-PA2518,2834687,2836054,xylX,-,PA2518,"[2834687, 2836054]"
5361,gene-PA2519,2836171,2837127,xylS,-,PA2519,"[2836171, 2837127]"
5363,gene-PA2520,2837334,2840489,czcA,-,PA2520,"[2837334, 2840489]"
5365,gene-PA2521,2840512,2841966,czcB,-,PA2521,"[2840512, 2841966]"
5367,gene-PA2522,2842019,2843305,czcC,-,PA2522,"[2842019, 2843305]"
5369,gene-PA2523,2843818,2844492,PA2523,+,PA2523,"[2843818, 2844492]"
5371,gene-PA2524,2844489,2845907,PA2524,+,PA2524,"[2844489, 2845907]"
5373,gene-PA2525,2846283,2847779,PA2525,-,PA2525,"[2846283, 2847779]"
5375,gene-PA2526,2847776,2850886,PA2526,-,PA2526,"[2847776, 2850886]"
5377,gene-PA2527,2850883,2854014,PA2527,-,PA2527,"[2850883, 2854014]"
5379,gene-PA2528,2854011,2855291,PA2528,-,PA2528,"[2854011, 2855291]"
5381,gene-PA2529,2855548,2856981,PA2529,+,PA2529,"[2855548, 2856981]"
5383,gene-PA2530,2856981,2858306,PA2530,+,PA2530,"[2856981, 2858306]"
5385,gene-PA2531,2858503,2859627,PA2531,+,PA2531,"[2858503, 2859627]"
5387,gene-PA2532,2859777,2860274,tpx,-,PA2532,"[2859777, 2860274]"
5390,gene-PA2533,2860409,2861758,PA2533,-,PA2533,"[2860409, 2861758]"
5392,gene-PA2534,2861914,2862825,PA2534,-,PA2534,"[2861914, 2862825]"
5394,gene-PA2535,2862944,2863939,PA2535,+,PA2535,"[2862944, 2863939]"
5396,gene-PA2536,2864170,2865105,PA2536,-,PA2536,"[2864170, 2865105]"
5398,gene-PA2537,2865107,2865736,PA2537,-,PA2537,"[2865107, 2865736]"
5400,gene-PA2538,2865748,2866200,PA2538,-,PA2538,"[2865748, 2866200]"
5402,gene-PA2539,2866193,2867506,PA2539,-,PA2539,"[2866193, 2867506]"
5404,gene-PA2540,2867542,2869302,PA2540,-,PA2540,"[2867542, 2869302]"
5406,gene-PA2541,2869392,2870027,PA2541,-,PA2541,"[2869392, 2870027]"
5408,gene-PA2542,2870162,2873827,PA2542,-,PA2542,"[2870162, 2873827]"
5410,gene-PA2543,2873824,2875563,PA2543,-,PA2543,"[2873824, 2875563]"
5412,gene-PA2544,2875697,2876410,PA2544,-,PA2544,"[2875697, 2876410]"
5414,gene-PA2545,2876555,2877367,xthA,+,PA2545,"[2876555, 2877367]"
5416,gene-PA2546,2877477,2877908,PA2546,-,PA2546,"[2877477, 2877908]"
5418,gene-PA2547,2877999,2878916,PA2547,+,PA2547,"[2877999, 2878916]"
5420,gene-PA2548,2878976,2880370,PA2548,+,PA2548,"[2878976, 2880370]"
5422,gene-PA2549,2880520,2881563,PA2549,+,PA2549,"[2880520, 2881563]"
5424,gene-PA2550,2881754,2882983,PA2550,-,PA2550,"[2881754, 2882983]"
5426,gene-PA2551,2883157,2884089,PA2551,+,PA2551,"[2883157, 2884089]"
5428,gene-PA2552,2884206,2885333,PA2552,-,PA2552,"[2884206, 2885333]"
5430,gene-PA2553,2885362,2886552,PA2553,-,PA2553,"[2885362, 2886552]"
5432,gene-PA2554,2886570,2887337,PA2554,-,PA2554,"[2886570, 2887337]"
5434,gene-PA2555,2887357,2889024,PA2555,-,PA2555,"[2887357, 2889024]"
5436,gene-PA2556,2889202,2890287,PA2556,-,PA2556,"[2889202, 2890287]"
5438,gene-PA2557,2890356,2892050,PA2557,-,PA2557,"[2890356, 2892050]"
5440,gene-PA2558,2892271,2892963,PA2558,+,PA2558,"[2892271, 2892963]"
5442,gene-PA2559,2893286,2893828,PA2559,-,PA2559,"[2893286, 2893828]"
5444,gene-PA2559a,2894147,2894377,PA2559a,+,PA2559a,"[2894147, 2894377]"
5446,gene-PA2560,2894452,2894739,PA2560,-,PA2560,"[2894452, 2894739]"
5448,gene-PA2561,2894908,2896614,PA2561,+,PA2561,"[2894908, 2896614]"
5450,gene-PA2562,2896741,2897253,PA2562,-,PA2562,"[2896741, 2897253]"
5452,gene-PA2563,2897610,2899097,PA2563,+,PA2563,"[2897610, 2899097]"
5454,gene-PA2564,2899107,2899934,PA2564,-,PA2564,"[2899107, 2899934]"
5456,gene-PA2565,2899924,2900349,PA2565,-,PA2565,"[2899924, 2900349]"
5458,gene-PA2566,2900372,2901559,PA2566,-,PA2566,"[2900372, 2901559]"
5461,gene-PA2567,2902218,2903981,PA2567,+,PA2567,"[2902218, 2903981]"
5463,gene-PA2568,2904040,2904447,PA2568,-,PA2568,"[2904040, 2904447]"
5465,gene-PA2569,2904566,2904907,PA2569,-,PA2569,"[2904566, 2904907]"
5467,gene-PA2570,2905182,2905550,lecA,-,PA2570,"[2905182, 2905550]"
5469,gene-PA2570.1,2905965,2906051,PA2570.1,-,PA2570.1,"[2905965, 2906051]"
5472,gene-PA2571,2906166,2907578,PA2571,-,PA2571,"[2906166, 2907578]"
5474,gene-PA2572,2907656,2908999,PA2572,+,PA2572,"[2907656, 2908999]"
5476,gene-PA2573,2909010,2910617,PA2573,-,PA2573,"[2909010, 2910617]"
5478,gene-PA2574,2910729,2911877,alkB1,-,PA2574,"[2910729, 2911877]"
5480,gene-PA2575,2912225,2912827,PA2575,+,PA2575,"[2912225, 2912827]"
5482,gene-PA2576,2912890,2913789,PA2576,-,PA2576,"[2912890, 2913789]"
5484,gene-PA2577,2913922,2914359,PA2577,+,PA2577,"[2913922, 2914359]"
5486,gene-PA2578,2914374,2914934,PA2578,+,PA2578,"[2914374, 2914934]"
5488,gene-PA2579,2914966,2915832,kynA,-,PA2579,"[2914966, 2915832]"
5490,gene-PA2580,2916158,2916748,PA2580,-,PA2580,"[2916158, 2916748]"
5492,gene-PA2581,2917172,2918212,PA2581,+,PA2581,"[2917172, 2918212]"
5494,gene-PA2581.1,2918603,2918676,PA2581.1,-,PA2581.1,"[2918603, 2918676]"
5497,gene-PA2582,2918967,2919500,PA2582,-,PA2582,"[2918967, 2919500]"
5499,gene-PA2583,2919591,2922569,PA2583,-,PA2583,"[2919591, 2922569]"
5501,gene-PA2583.1,2923222,2923297,PA2583.1,-,PA2583.1,"[2923222, 2923297]"
5504,gene-PA2584,2923367,2923927,pgsA,-,PA2584,"[2923367, 2923927]"
5506,gene-PA2585,2923961,2925787,uvrC,-,PA2585,"[2923961, 2925787]"
5508,gene-PA2586,2925788,2926432,gacA,-,PA2586,"[2925788, 2926432]"
5510,gene-PA2587,2926773,2927921,pqsH,-,PA2587,"[2926773, 2927921]"
5513,gene-PA2588,2928539,2929567,PA2588,+,PA2588,"[2928539, 2929567]"
5515,gene-PA2589,2929583,2930797,PA2589,-,PA2589,"[2929583, 2930797]"
5517,gene-PA2590,2930808,2933462,PA2590,-,PA2590,"[2930808, 2933462]"
5519,gene-PA2591,2933582,2934388,PA2591,-,PA2591,"[2933582, 2934388]"
5522,gene-PA2592,2934541,2935644,PA2592,+,PA2592,"[2934541, 2935644]"
5524,gene-PA2593,2935851,2936423,qteE,+,PA2593,"[2935851, 2936423]"
5526,gene-PA2594,2936490,2937449,PA2594,-,PA2594,"[2936490, 2937449]"
5528,gene-PA2595,2937585,2938541,PA2595,-,PA2595,"[2937585, 2938541]"
5530,gene-PA2596,2938553,2939539,PA2596,-,PA2596,"[2938553, 2939539]"
5532,gene-PA2597,2939646,2940797,PA2597,-,PA2597,"[2939646, 2940797]"
5534,gene-PA2598,2940802,2941884,PA2598,-,PA2598,"[2940802, 2941884]"
5536,gene-PA2599,2941894,2942838,PA2599,-,PA2599,"[2941894, 2942838]"
5538,gene-PA2600,2942848,2943915,PA2600,-,PA2600,"[2942848, 2943915]"
5540,gene-PA2601,2944255,2945151,PA2601,-,PA2601,"[2944255, 2945151]"
5542,gene-PA2602,2945264,2945869,PA2602,+,PA2602,"[2945264, 2945869]"
5544,gene-PA2603,2945866,2947449,PA2603,+,PA2603,"[2945866, 2947449]"
5546,gene-PA2603.1,2947583,2947672,PA2603.1,-,PA2603.1,"[2947583, 2947672]"
5549,gene-PA2604,2947803,2948471,PA2604,+,PA2604,"[2947803, 2948471]"
5551,gene-PA2605,2948582,2948977,PA2605,+,PA2605,"[2948582, 2948977]"
5553,gene-PA2606,2948974,2949333,PA2606,+,PA2606,"[2948974, 2949333]"
5555,gene-PA2607,2949333,2949638,PA2607,+,PA2607,"[2949333, 2949638]"
5557,gene-PA2608,2949635,2949970,PA2608,+,PA2608,"[2949635, 2949970]"
5559,gene-PA2609,2949967,2950950,PA2609,+,PA2609,"[2949967, 2950950]"
5561,gene-PA2610,2951038,2952012,PA2610,+,PA2610,"[2951038, 2952012]"
5563,gene-PA2611,2952017,2953414,cysG,-,PA2611,"[2952017, 2953414]"
5565,gene-PA2612,2953416,2954696,serS,-,PA2612,"[2953416, 2954696]"
5567,gene-PA2613,2954818,2956143,PA2613,-,PA2613,"[2954818, 2956143]"
5569,gene-PA2614,2956153,2956779,lolA,-,PA2614,"[2956153, 2956779]"
5571,gene-PA2615,2956805,2959240,ftsK,-,PA2615,"[2956805, 2959240]"
5573,gene-PA2616,2959468,2960418,trxB1,+,PA2616,"[2959468, 2960418]"
5575,gene-PA2617,2960456,2961136,aat,+,PA2617,"[2960456, 2961136]"
5577,gene-PA2618,2961191,2961898,PA2618,+,PA2618,"[2961191, 2961898]"
5579,gene-PA2619,2962003,2962221,infA,+,PA2619,"[2962003, 2962221]"
5581,gene-PA2620,2962303,2964579,clpA,-,PA2620,"[2962303, 2964579]"
5583,gene-PA2621,2964607,2964975,PA2621,-,PA2621,"[2964607, 2964975]"
5585,gene-PA2622,2965201,2965473,cspD,+,PA2622,"[2965201, 2965473]"
5587,gene-PA2623,2965546,2966802,icd,-,PA2623,"[2965546, 2966802]"
5589,gene-PA2624,2967161,2969386,idh,+,PA2624,"[2967161, 2969386]"
5591,gene-PA2625,2969473,2969943,PA2625,+,PA2625,"[2969473, 2969943]"
5593,gene-PA2626,2969987,2971114,trmU,+,PA2626,"[2969987, 2971114]"
5595,gene-PA2627,2971111,2971731,PA2627,+,PA2627,"[2971111, 2971731]"
5597,gene-PA2628,2971734,2972624,PA2628,+,PA2628,"[2971734, 2972624]"
5599,gene-PA2629,2972699,2974069,purB,+,PA2629,"[2972699, 2974069]"
5601,gene-PA2630,2974129,2975298,PA2630,+,PA2630,"[2974129, 2975298]"
5603,gene-PA2631,2975291,2975716,PA2631,+,PA2631,"[2975291, 2975716]"
5605,gene-PA2632,2975723,2976343,PA2632,+,PA2632,"[2975723, 2976343]"
5607,gene-PA2633,2976340,2977161,PA2633,+,PA2633,"[2976340, 2977161]"
5609,gene-PA2634,2977756,2979351,aceA,+,PA2634,"[2977756, 2979351]"
5612,gene-PA2635,2979530,2981548,PA2635,+,PA2635,"[2979530, 2981548]"
5614,gene-PA2636,2981627,2982181,PA2636,+,PA2636,"[2981627, 2982181]"
5617,gene-PA2637,2982781,2983194,nuoA,+,PA2637,"[2982781, 2983194]"
5619,gene-PA2638,2983205,2983882,nuoB,+,PA2638,"[2983205, 2983882]"
5621,gene-PA2639,2983963,2985744,nuoD,+,PA2639,"[2983963, 2985744]"
5623,gene-PA2640,2985746,2986246,nuoE,+,PA2640,"[2985746, 2986246]"
5625,gene-PA2641,2986243,2987589,nuoF,+,PA2641,"[2986243, 2987589]"
5627,gene-PA2642,2987721,2990438,nuoG,+,PA2642,"[2987721, 2990438]"
5629,gene-PA2643,2990435,2991430,nuoH,+,PA2643,"[2990435, 2991430]"
5631,gene-PA2644,2991442,2991990,nuoI,+,PA2644,"[2991442, 2991990]"
5633,gene-PA2645,2992002,2992502,nuoJ,+,PA2645,"[2992002, 2992502]"
5635,gene-PA2646,2992548,2992856,nuoK,+,PA2646,"[2992548, 2992856]"
5637,gene-PA2647,2992853,2994700,nuoL,+,PA2647,"[2992853, 2994700]"
5639,gene-PA2648,2994728,2996257,nuoM,+,PA2648,"[2994728, 2996257]"
5641,gene-PA2649,2996265,2997725,nuoN,+,PA2649,"[2996265, 2997725]"
5643,gene-PA2650,2997840,2998649,PA2650,+,PA2650,"[2997840, 2998649]"
5645,gene-PA2651,2998856,2999914,PA2651,-,PA2651,"[2998856, 2999914]"
5647,gene-PA2652,3000074,3001759,PA2652,-,PA2652,"[3000074, 3001759]"
5649,gene-PA2653,3001873,3003198,PA2653,-,PA2653,"[3001873, 3003198]"
5651,gene-PA2654,3003457,3005601,PA2654,+,PA2654,"[3003457, 3005601]"
5653,gene-PA2655,3005606,3005914,PA2655,-,PA2655,"[3005606, 3005914]"
5655,gene-PA2656,3006005,3007342,PA2656,-,PA2656,"[3006005, 3007342]"
5657,gene-PA2657,3007339,3008010,PA2657,-,PA2657,"[3007339, 3008010]"
5659,gene-PA2658,3008010,3008324,PA2658,-,PA2658,"[3008010, 3008324]"
5661,gene-PA2659,3008324,3008632,PA2659,-,PA2659,"[3008324, 3008632]"
5663,gene-PA2660,3008847,3009929,PA2660,+,PA2660,"[3008847, 3009929]"
5665,gene-PA2661,3009956,3010849,PA2661,+,PA2661,"[3009956, 3010849]"
5667,gene-PA2662,3011100,3012293,PA2662,-,PA2662,"[3011100, 3012293]"
5669,gene-PA2663,3012280,3012537,ppyR,-,PA2663,"[3012280, 3012537]"
5671,gene-PA2664,3012592,3013773,fhp,-,PA2664,"[3012592, 3013773]"
5673,gene-PA2665,3013928,3015481,PA2665,+,PA2665,"[3013928, 3015481]"
5675,gene-PA2666,3015582,3015938,PA2666,+,PA2666,"[3015582, 3015938]"
5677,gene-PA2667,3016246,3016599,PA2667,+,PA2667,"[3016246, 3016599]"
5680,gene-PA2669,3017234,3017818,PA2669,-,PA2669,"[3017234, 3017818]"
5682,gene-PA2670,3017818,3018804,PA2670,-,PA2670,"[3017818, 3018804]"
5684,gene-PA2671,3018848,3019927,PA2671,-,PA2671,"[3018848, 3019927]"
5686,gene-PA2672,3019917,3020507,PA2672,-,PA2672,"[3019917, 3020507]"
5688,gene-PA2673,3020504,3020929,PA2673,-,PA2673,"[3020504, 3020929]"
5690,gene-PA2674,3020929,3021339,PA2674,-,PA2674,"[3020929, 3021339]"
5692,gene-PA2675,3021308,3021742,PA2675,-,PA2675,"[3021308, 3021742]"
5694,gene-PA2676,3021796,3022983,PA2676,-,PA2676,"[3021796, 3022983]"
5696,gene-PA2677,3022988,3024715,PA2677,-,PA2677,"[3022988, 3024715]"
5698,gene-PA2678,3024705,3025508,PA2678,-,PA2678,"[3024705, 3025508]"
5700,gene-PA2679,3026100,3026852,PA2679,-,PA2679,"[3026100, 3026852]"
5702,gene-PA2680,3027078,3028052,PA2680,+,PA2680,"[3027078, 3028052]"
5704,gene-PA2681,3028075,3029004,PA2681,+,PA2681,"[3028075, 3029004]"
5706,gene-PA2682,3029187,3030428,PA2682,+,PA2682,"[3029187, 3030428]"
5708,gene-PA2683,3030436,3031398,PA2683,-,PA2683,"[3030436, 3031398]"
5710,gene-PA2684,3031749,3035702,PA2684,-,PA2684,"[3031749, 3035702]"
5712,gene-PA2685,3035752,3037932,PA2685,-,PA2685,"[3035752, 3037932]"
5715,gene-PA2686,3037886,3038803,pfeR,+,PA2686,"[3037886, 3038803]"
5718,gene-PA2687,3038803,3040143,pfeS,+,PA2687,"[3038803, 3040143]"
5721,gene-PA2688,3040242,3042482,pfeA,+,PA2688,"[3040242, 3042482]"
5723,gene-PA2689,3042502,3043416,PA2689,+,PA2689,"[3042502, 3043416]"
5725,gene-PA2690,3043750,3044766,PA2690,-,PA2690,"[3043750, 3044766]"
5727,gene-PA2691,3044947,3046152,PA2691,-,PA2691,"[3044947, 3046152]"
5729,gene-PA2692,3046421,3046945,PA2692,+,PA2692,"[3046421, 3046945]"
5731,gene-PA2693,3047116,3047616,PA2693,+,PA2693,"[3047116, 3047616]"
5733,gene-PA2694,3047644,3047970,PA2694,-,PA2694,"[3047644, 3047970]"
5735,gene-PA2695,3048051,3049154,PA2695,-,PA2695,"[3048051, 3049154]"
5737,gene-PA2696,3049268,3050161,PA2696,-,PA2696,"[3049268, 3050161]"
5739,gene-PA2697,3050331,3050612,PA2697,-,PA2697,"[3050331, 3050612]"
5741,gene-PA2698,3050669,3051349,PA2698,-,PA2698,"[3050669, 3051349]"
5743,gene-PA2699,3051957,3053795,PA2699,+,PA2699,"[3051957, 3053795]"
5745,gene-PA2700,3053844,3055151,opdB,+,PA2700,"[3053844, 3055151]"
5747,gene-PA2701,3055154,3056743,PA2701,+,PA2701,"[3055154, 3056743]"
5749,gene-PA2702,3056890,3057366,PA2702,+,PA2702,"[3056890, 3057366]"
